ODF Experience / Scenario;Feature;Sub Feature;Priority ;Delivery Milestone ;Completion Status;Technical description;Comment
Document Structure;;;;;;;
;Document Roots;;;;;;
;;Document Root Element Content Models;;;;;
;;Document Root Attributes;;;;;
;Document Metadata;;;;;;
;;Pre-Defined vs. Custom Metadata;;;;;
;;Sample Metadata;;;;;
;Body Element and Document Types;;;;;;
;;Text Documents;;;;;
;;Drawing Documents;;;;;
;;Presentation Documents;;;;;
;;Spreadsheet Documents;;;;;
;;Chart Documents;;;;;
;;Image Documents;;;;;
;Application Settings;;;;;;
;;Sequence of Settings;;;;;
;;Base Settings;;;;;
;;Index Access of Sequences;;;;;
;;Map Entry;;;;;
;;Name Access of Sequences;;;;;
;;Cursor Position Setting;;;;;
;Scripts;;;;;;
;;Script;;;;;
;Font Face Declarations;;;;;;
;Styles;;;;;;
;;Location of Styles;;;;;
;Page Styles and Layout;;;;;;
Meta Data Elements;;;;;;;
;Pre-Defined Metadata Elements;;;;;;
;;Generator;;;Completed;"Not exported (""ODF Converter"" put in Properties/Application)";
;;Title;;0.1;Completed;dc:title in both;
;;Description;;0.1;Completed;dc:description in both;
;;Subject;;0.1;Completed;dc:subject in both;
;;Keywords;;0.1;Completed;Merged all meta:keyword elemnts into a single space separated list within cp:keywords;
;;Initial Creator;;0.1;Completed;meta:initial-creator converted to dc:creator;
;;Creator;;0.1;Completed;dc:creator converted to cp:lastModifiedBy;
;;Printed By;;;;;
;;Creation Date and Time;;0.1;Completed;meta:creation-date converted to dcterms:created;
;;Modification Date and Time;;0.1;Completed;dc:date converted to dcterms:modified (only if exists);
;;Print Date and Time;;;;;
;;Document Template;;;;;
;;Automatic Reload;;;;;
;;Hyperlink Behavior;;;;;
;;Language;;;;;
;;Editing Cycles;;0.1;Completed;meta:editing-cycles converted to cp:revision;
;;Editing Duration;;;;;
;;Document Statistics;;0.1;Partial;"meta:document-statistic/@meta:page-count converted to Pages
meta:document-statistic/@meta:word-count converted to Words
meta:document-statistic/@meta:paragraph-count converted to Paragraphs
meta:document-statistic/@meta:character-count converted to CharactersWithSpaces";Bug #49 reports wrong word count
;User-defined Metadata;;;0.1;Partial;Each @meta:name is converted to a property with type corresponding to String (using {D5CDD505-2E9C-101B-9397-08002B2CF9AE} as fmtid);Other formats should be treated as well
;Custom Metadata;;;;;;
Text Content;;;;;;;
;Headings, Paragraphs and Basic Text Structure;;;;;;
;;Headings;;0.1;Partial;"text:h is converted to a w:document/w:body/w:p paragraph.
text:h/@text:outline-level is translated to w:p/w:pPr/w:outLineLvi";
;;Paragraphs;;0.1;Completed;text:p is converted to w:document/w:body/w:p;
;;Common Paragraph Elements Attributes;;;;;
;Page Sequences;;;;;;
;;Page;;;;;
;Lists;;;;;;
;;List Block;;;;;
;;List Item;;0.1;Completed;"text:list-item is translated to a paragraph with w:pPr/w:numPr descendant set a follow : 
w:ilvi child is the item level starting at 0.
w:numId identifier is based on the relative position of this element's style.   
";
;;List Header;;;;;
;;Numbered Paragraphs;;;;;
;Text Sections;;;;;;
;;Section Attributes;;;;;
;;Section Source;;;;;
;;DDE Source;;;;;
;Page-bound graphical content;;;;;;
;Change Tracking;;;;;;
;;Tracked Changes;;;;;
;;Changed Regions;;;;;
;;Insertion;;;;;
;;Deletion;;;;;
;;Format Change;;;;;
;;Change Info;;;;;
;;Change Marks;;;;;
;Text Declarations;;;;;;
Paragraph Elements Content;;;;;;;
;Basic Text Content;;;;;;
;;White-space Characters;;0.1;Completed;"Extra space characters text:c elements are injected into w:t elements by looking at the 
text:p or text:span following siblings
Tab character text:tab is translated to a run including a tabulation <w:r><w:tab/></w:r>
Line break text:line-break is translated to <w:r><w:br/><w:t/></w:r> in paragraph mode or to <w:br/> in text mode";
;;Soft Hyphens, Hyphens, and Non-breaking Blanks;;;;;
;;Attributed Text;;;;;
;;Hyperlinks;;0.1;Completed;text:a is converted to w:hyperlink where attribute r:id is the result of the generate-id() function;
;BoCompletedmarks and References;;;;;;
;;BoCompletedmarks;;;;;
;;References;;;;;
;Notes;;;;;;
;;Note Element;;;;;
;Ruby;;;;;;
;Text Annotation;;;;;;
;Index Marks;;;;;;
;Change Tracking and Change Marks;;;;;;
;Inline graphics and text-boxes;;;;;;
Text Fields;;;;;;;
;Common Characteristics of Field Elements;;;;;;
;Document Fields;;;;;;
;;Date Fields;;;;;
;;Time Fields;;;;;
;;Page Number Fields;;;;;
;;Page Continuation Text;;;;;
;;Sender Fields;;;;;
;;Author Fields;;;;;
;;Chapter Fields;;;;;
;;File Name Fields;;;;;
;;Document Template Name Fields;;;;;
;;Sheet Name Fields;;;;;
;Variable Fields;;;;;;
;;Declaring Simple Variables;;;;;
;;Setting Simple Variables;;;;;
;;Displaying Simple Variables;;;;;
;;Simple Variable Input Fields;;;;;
;;Declaring User Variables;;;;;
;;Displaying User Variables;;;;;
;;User Variable Input Fields;;;;;
;;Declaring Sequence Variables;;;;;
;;Using Sequence Fields;;;;;
;;Expression Fields;;;;;
;;Text Input Fields;;;;;
;Metadata Fields;;;;;;
;;Initial Creator;;;;;
;;Document Creation Date;;;;;
;;Document Creation Time;;;;;
;;Document Description;;;;;
;;User-Defined Document Information;;;;;
;;Print Time;;;;;
;;Print Date;;;;;
;;Printed By;;;;;
;;Document Title;;;;;
;;Document Subject;;;;;
;;Document Keywords;;;;;
;;Document Revision Number;;;;;
;;Document Edit Duration;;;;;
;;Document Modification Time;;;;;
;;Document Modification Date;;;;;
;;Document Modified By;;;;;
;;Document Statistics Fields;;;;;
;Database Fields;;;;;;
;;Database Field Data Source;;;;;
;;Displaying Database Content;;;;;
;;Selecting the Next Database Row;;;;;
;;Selecting a Row Number;;;;;
;;Displaying the Row Number;;;;;
;;Display Current Database and Table;;;;;
;More Fields;;;;;;
;;Page Variable Fields;;;;;
;;Placeholders;;;;;
;;Conditional Text Fields;;;;;
;;Hidden Text Field;;;;;
;;Reference Fields;;;;;
;;Script Fields;;;;;
;;Macro Fields;;;;;
;;Hidden Paragraph Fields;;;;;
;;DDE Connection Fields;;;;;
;;Measure Fields;;;;;
;;Table Formula Field;;;;;
;Common Field Attributes;;;;;;
;;Variable Value Types and Values;;;;;
;;Fixed;;;;;
;;Variable Name;;;;;
;;Description;;;;;
;;Display;;;;;
;;Formula;;;;;
;;Formatting Style;;;;;
;;Number Formatting Style;;;;;
Text Indices;;;;;;;
;Index Marks;;;;;;
;;Table of Content Index Marks;;;;;
;;User-Defined Index Marks;;;;;
;;Alphabetical Index Mark;;;;;
;;Bibliography Index Mark;;;;;
;Index Structure;;;;;;
;;Index Source;;;;;
;;Index Body Section;;;;;
;;Index Title Section;;;;;
;Table Of Content;;;;;;
;;Table of Content Source;;;;;
;;Table of Content Entry Template;;;;;
;Index of Illustrations;;;;;;
;;Index of Illustration Source;;;;;
;;Illustration Index Entry Template;;;;;
;Index of Tables;;;;;;
;;Table Index Source;;;;;
;;Table Index Entry Template;;;;;
;Index of Objects;;;;;;
;;Object Index Source;;;;;
;;Object Index Entry Template;;;;;
;User-Defined Index;;;;;;
;;User-Defined Index Source;;;;;
