Document Metadata;;;;;;
;Pre-Defined vs. Custom Metadata;;;;;
;Sample Metadata;;;;;
Body Element and Document Types;;;;;;
;Spreadsheet Documents;;;;;
;Chart Documents;;;;;
Application Settings;;;;;;
;Sequence of Settings;;;;;
;Base Settings;;;;;
;Index Access of Sequences;;;;;
;Map Entry;;;;;
;Name Access of Sequences;;;;;
Scripts;;;;;;
;Script;;;;;
Font Face Declarations;;;;;;
Styles;;;;;;
;Location of Styles;;;;;
Page Styles and Layout;;;;;;
Metadata Elements;;;;;;
;Pre-Defined Metadata Elements;;;;;
;;Generator;;;;
;;Title;;;;
;;Description;;;;
;;Subject;;;;
;;Keywords;;;;
;;Initial Creator;;;;
;;Creator;;;;
;;Printed By;;;;
;;Creation Date and Time;;;;
;;Modification Date and Time;;;;
;;Print Date and Time;;;;
;;Document Template;;;;
;;Automatic Reload;;;;
;;Hyperlink Behavior;;;;
;;Language;;;;
;;Editing Cycles;;;;
;;Editing Duration;;;;
;;Document Statistics;;;;
;User-defined Metadata;;;;;
;Custom Metadata;;;;;
Paragraphs and Basic Text Structure;;;;;;
;Paragraphs;;;;;
;Common Paragraph Elements Attributes;;;;;
Basic Text Content;;;;;;
;White-space Characters;;;;;
;Attributed Text;;;;;
;Hyperlinks;;;;;
Text Fields;;;;;;
;Common Characteristics of Field Elements;;;;;
;Document Fields;;;;;
;;Date Fields;;;;
;;Time Fields;;;;
;;Page Number Fields;;;;
;;Sender Fields;;could be converted as text (instead of a field);;
;;File Name Fields;;;;
;;Sheet Name Fields;;;;
;Common Field Attributes;;;;;
;;Display;;;;
;;Formatting Style;;;;
;;Number Formatting Style;;;;
Basic Table Model;;;;;;
;Table Element;;;;;
;Table Row;;;;;
;Table Cell;;;;;
Advanced Table Model;;;;;;
;Column Description;;;;;
;Column Groups;;;;;
;Row Groups;;;;;
Advanced Tables;;;;;;
;Referencing Table Cells;;;;;
;Linked Tables;;;;;
;Scenario Tables;;;;;
;Shapes;;;;;
Advanced Table Cells;;;;;;
;Linked Table Cells;;;;;
;Detective;;;;;
;Detective Operation;;;;;
;Highlighted Range;;;;;
Spreadsheet Document Content;;;;;;
;Document Protection;;;;;
;Calculation Settings;;;;;
;Table Cell Content Validations;;;;;
;Label Ranges;;;;;
;Named Expressions;;;;;
Database Ranges;;;;;;
;Database Range;;;;;
;Database Source SQL;;;;;
;Database Source Table;;;;;
;Database Source Query;;;;;
;Sort;;;;;
