Workbook;;
;book Views (Workbook Views);
;calcPr (Calculation Properties);
;customWorkbookView (Custom Workbook View);
;customWorkbookViews (Custom Workbook Views);
;definedName (Defined Name);
;definedNames (Defined Names);
;ext;
;externalReference (External Reference);
;externalReferences (External References);
;fileRecoveryPr (File Recovery Properties);
;fileSharing (File Sharing);
;file Version (File Version);
;functionGroup (Function Group);
;functionGroups (Function Groups);
;oleSize (OLE Size);
;pivotCache (Pivot Cache);
;pivotCaches (Pivot Caches);
;sheet (Sheet Information);
;sheets (Sheets);
;smartTagPr (Smart Tag Properties);
;smartTagType (Smart Tag Type);
;smartTagTypes (Smart Tag Types);
;webPublishing (Web Publishing Properties);
;webPublishingObject;
;webPublishingObjects;
;workbook (Workbook);
;workbookPr (Workbook Properties);
;workbookProtection (Workbook Protection);
;workbookView (Workbook View);
Worksheets;;
;Worksheets;
;;autoFilter (AutoFilter Settings)
;;brk (Break)
;;c (Cell)
;;cellSmartTag (Cell Smart Tag)
;;cellSmartTagPr (Cell Smart Tag Properties)
;;cellSmartTags (Cell Smart Tags)
;;cellWatch (Cell Watch Item)
;;cellWatches (Cell Watch Items)
;;cfRule (Conditional Formating Rule)
;;cfvo (Conditional Format Value Object)
;;chartsheet(Chart Sheet)
;;col (Column Width & Formating)
;;colBreaks (Vertical Page Breaks)
;;color (Data Bar Color)
;;colorScale (Color Scale)
;;cols (Column Information)
;;conditionalFormating (Conditional Formating)
;;control (Embedded Control)
;;controls (Embedded Controls)
;;customPr (Custom Properties)
;;customProperties (Custom Properties)
;;customSheetView (Custom Chart Sheet View)
;;customSheetView (Custom Sheet View)
;;customSheetViews (Custom Chart Sheet Views)
;;customSheetViews (Custom Sheet Views)
;;dataBar (Data Bar)
;;dataConsolidate (Data Consolidate)
;;dataRef (Data Consolidation Reference)
;;dataRefs (Data Consolidation References)
;;dataValidation (Data Validation)
;;dataValidations (Data Validations)
;;dialogsheet (Dialog Sheet)
;;dimension (Worksheet Dimensions)
;;drawing (Drawing)
;;evenFooter (Even Page Footer)
;;evenHeader (Even Page Header)
;;firstFooter (First Page Footer)
;;firstHeader (First Page Header)
;;headerFooter (Header Footer Settings)
;;hyperlink (Hyperlink)
;;hyperlinks (Hyperlinks)
;;iconSet (Icon Set)
;;ignoredError
;;ignoredErrors
;;inputCells (Input Cells)
;;is (Rich Text Inline)
;;legacyDrawing (Legacy Drawing)
;;legacyDrawingHF (Legacy Drawing Header Footer)
;;mergeCell (Merged Cell)
;;mergeCells (Merged Cells)
;;oddFooter (Odd Page Footer)
;;oddHeader (Odd Header)
;;oleObject (OLE Object)
;;oleObjects (OLE Objects)
;;outlinePr (Outline Properties)
;;pageMargins (Page Margins)
;;pageSetup (Page Setup Settings)
;;pageSetUpPr (Page Setup Properties)
;;pane (View Pane)
;;picture (Background Image)
;;pivotArea (Pivot Area)
;;pivotSelection (PivotTable Selection)
;;printOptions (Print Options)
;;protectedRange (Protected Range)
;;protectedRanges (Protected Ranges)
;;row (Row)
;;rowBreaks (Horizontal Page Breaks (Row))
;;scenario (Scenario)
;;scenarios (Scenarios)
;;selection (Selection)
;;sheetCalcPr (Sheet Calculation Properties)
;;sheetData (Sheet Data)
;;sheetFormatPr (Sheet Format Properties)
;;sheetPr (Sheet Properties)
;;sheetPr (Chart Sheet Properties)
;;sheetProtection (Sheet Protection Options)
;;sheetProtection (Chart Sheet Protection)
;;sheetView (Worksheet View)
;;sheetView (Chart Sheet View)
;;sheetViews (Sheet Views)
;;sheetViews (Chart Sheet Views)
;;smartTags (Smart Tags)
;;sortState (Sort State)
;;tabColor (Sheet Tab Color)
;;tablePart (Table Part)
;;tableParts (Table Parts)
;;v (Cell Value)
;;webPublishItem (Web Publish Item)
;;webPublishItems (Web Publish Items)
;;worksheet (Worksheet)
;AutoFilter Settings;
;;colorFilter (Color Filter Criteria)
;;customFilter (Custom Filter Criteria)
;;customFilters (Custom Filters)
;;dateGroupItem (Date Grouping)
;;dynamicFilter (Dynamic Filter)
;;filter (Filter)
;;filterColumn (AutoFilter Column)
;;filters (Filters)
;;iconFilter (Icon Filter)
;;sortCondition (Sort Condition)
;;top10 (Top 10)
Shared String Table;;
;charset (Character Set);
;outline (Outline);
;phoneticPr (Phonetic Properties);
;r (Rich Text Run);
;rFont (Font);
;rPh (Phonetic Run);
;rPr (Run Properties);
;si (String Item);
;sst (Shared String Table);
;strike (Strike Through);
;sz (Font Size);
;t (Text);
;u (Underline);
;vertAlign (Vertical Alignment);
Tables;;
;Tables;
;;calculatedColumnFormula (Calculated Column Formula)
;;table (Table)
;;tableColumn (Table Column)
;;tableColumns (Table Columns)
;;tableStyleInfo (Table Style)
;;totalsRowFormula (Totals Row Formula)
;;xmlColumnPr (XML Column Properties)
;Single Cell Tables;
;;singleXmlCell (Table Properties)
;;singleXmlCells (Single Cells)
;;xmlCellPr (Cell Properties)
;;xmlPr (Column XML Properties)
Calculation Chain;;
;c (Cell);
;calcChain (Calculation Chain Info);
Comments;;
;author (Author);
;authors (Authors);
;comment (Comment);
;commentList (List of Comments);
;comments (Comments);
;text (Comment Text);
Styles;;
;alignment (Alignment);
;b (Bold);
;bgColor (Background Color);
;border (Border);
;borders (Borders);
;cellStyle (Cell Style);
;cellStyles (Cell Styles);
;cellStyleXfs (Formating Records);
;cellXfs (Cell Formats);
;colors (Colors);
;condence (Condence);
;diagonal (Diagonal);
;dxf (Formating);
;dxfs (Formats);
;extend (Extend);
;family (Font Family);
;fgColor (Foreground Color);
;fill (Fill);
;fills (Fills);
;font (Font);
;fonts (Fonts);
;gradientFill (Gradient);
;horizontal (Horizontal Inner Borders);
;i (Italic);
;indexedColors (Color Indexes);
;left (Left Border);
;mruColors (MRU Colors);
;name (Font Name);
;numFmt (Number Format);
;numFmts (Number Formats);
;patternFill (Pattern);
;protection (Protection Properties);
;rgbColor (RGB Color);
;right (Right Border);
;scheme (Scheme);
;shadow (Shadow);
;stop (Gradient Stop);
;styleSheet (Style Sheet);
;tableStyle (Table Styles);
;tableStyleElement (Table Style);
;tableStyles (Table Styles);
;top (Top Border);
;vertical (Vertical Inner Border);
;xf (Format);
Metadata;;
;bk (Metadata Block);
;bk (Future Metadata Block);
;cellMetadata (Cell Metadata);
;futureMetadata (Future Metadata);
;k (KPI MDX Metadata);
;mdx (MDX Metadata Record);
;mdxMetadata (MDX Metadata Information);
;metadata (Metadata);
;metadataStrings (Metadata String Store);
;metadataType (Metadata Type Information);
;metadataTypes (Metadata Types Collection);
;ms (Set MDX Metadata);
;n (Member Unique Name Index);
;p (Member Property MDX Metadata);
;rc (Metadata Record);
;t (Tuple MDX Metadata);
;valueMetadata (Value Metadata);
Pivot Tables;;
;Pivot Tables;
;;autoSortScope (AutoSort Scope)
;;b (Boolean)
;;cacheField (PivotCache Field)
;;cacheFields (PivotCache Fields)
;;cacheHierarchies (PivotCache Hierarchies)
