Main Tab;Top level Menu Item;Sub Menu Item;Section / Tab;Feature;Sub Feature;Priority;Delivery Milestone;Completion Status;Lost during conversion;Schema Conversion Map reference;Comments
;;;;;;;;;;;
Home;Font;Font;Font type;Selected font;;0;0.2-Final ;Completed;;;
;;;Font Style;Regular/Italic/Bold / Bold Italic;;0;0.2-Final ;Completed;;;
;;;Size;Selected size;;0;0.2-Final ;Completed;;;
;;;Font color;Selected font color;;0;0.2-Final ;Completed;;;
;;;Underline style;Selected underline style;;1;0.3-M1;Completed;;;
;;;Underline color;selected underline color;;1;0.3-M1;Completed;;;
;;;Effects;Strikethrough;;0;0.2-Final ;Completed;;;
;;;;Double strikethrough;;1;0.2-Final ;Completed;;;
;;;;Superscript;;0;0.2-Final ;Completed;;;
;;;;Subscript;;0;0.2-Final ;Completed;;;
;;;;Shadow;;1;0.3-M1;Completed;;;
;;;;Outline;;1;0.3-M1;Completed;;;
;;;;Emboss;;1;0.2-Final ;Completed;;;
;;;;Engrave;;1;-;;not supported in ODF;;
;;;;Small caps;;0;0.2-Final ;Completed;;;
;;;;All caps;;0;0.2-Final ;Completed;;;
;;;;Hidden;;1;0.3-M1;Completed;;;
;;;;;;;;;;;
;;Character spacing;Scale;Selected value;;1;0.2-Final ;Completed;;;
;;;Spacing;Expanded/ Condensed;;1;0.2-Final ;Completed;;;
;;;Position;Normal/ Raised / Lowered;;1;0.2-Final ;Completed;;;
;;;Kerning for fonts;;;1;0.2-Final ;Completed;;;
;;;;;;;;;;;
;;Font color;Selected font color;;;1;0.2-Final ;Completed;;;
;;;;;;;;;;;
;;Text Highlight color;Selected text highlight color;;;1;0.2-Final ;Completed;;;
;;;;;;;;;;;
;Paragraph;Indents and spacing;Alignment;Left / Right / Centered / Justified;;0;0.2-Final ;Completed;;;
;;;Outline level;Body Text;;0;0.2-Final ;Completed;;;
;;;;Level1 to Leve9;;0;0.2-Final ;Completed;;;
;;;Indentation;Left;;0;0.2-Final ;Completed;;;
;;;;Right;;0;0.2-Final ;Completed;;;
;;;;Mirror indents;;1;-;;this feature is unsupported in ODF;;
;;;;Special;None;0;0.2-Final ;Completed;;;
;;;;;First line;0;0.2-Final ;Completed;;;
;;;;;Hanging;0;0.2-Final ;Completed;;;
;;;Spacing;Before;;0;0.2-Final ;Completed;;;
;;;;After;;0;0.2-Final ;Completed;;;
;;;;Line Spacing;Single;1;0.2-Final ;Completed;;;
;;;;;1.5 lines;1;0.2-Final ;Completed;;;
;;;;;Double;1;0.2-Final ;Completed;;;
